Game_title,Game_ID,Min_players,Max_players,Playing_time,Year_published,Item_type,Publisher,Language,Rent_price,Price,Tournament_game
Miasto Szpiegów: Estoril 1942,169318,2,4,60,2016,standalone,Rebel Sp. z o.o.,Polish,14,140,0.0
MikroMakro: Na Tropie Zbrodni,318977,1,4,45,2021,standalone,Lucky Duck Games,Polish,14,140,0.0
Mistrz Słowa,122820,2,10,30,0,standalone,Alexander,Polish,8,80,0.0
Miszmasz! Gramy!,222887,2,6,10,2019,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Mix Tura,287228,4,10,20,2021,standalone,Muduko; Rocket Lemon Games,Polish,8,80,0.0
Mob Town,142333,2,4,30,2016,standalone,Trefl Joker Line,Polish,8,80,0.0
Monopoly: Game of Thrones,265571,2,6,0,2018,standalone,,,17,170,0.0
Montana,233955,2,4,45,2018,standalone,Lacerta,Polish,17,170,0.0
Moustache Smash,165551,3,6,20,0,standalone,Spin Master Ltd.,Czech; Hungarian; Polish; Slovak,8,80,0.0
Mr. Jack,21763,2,2,30,2016,standalone,Hurrican,Bulgarian; Greek; Japanese; Polish,10,100,0.0
Mr. Jack: Extension,260303,2,2,30,2018,expansion,Hurrican,Dutch; English; French; German; Greek; Hungarian; Italian; Japanese; Polish; Portuguese; Romanian; Russian; Spanish,8,80,0.0
Mumia: Wyścig w bandażach,167185,2,6,30,2014,standalone,Egmont Polska,Polish,8,80,0.0
Munchkin Edycja 2012,1927,3,6,120,2012,standalone,Black Monk,Polish,11,110,0.0
Munchkin Impossible,22948,3,6,120,2006,standalone,Steve Jackson Games,English,9,90,0.0
Mur Hadriana,304783,1,6,60,2021,standalone,Garphill Games; Portal Games,Polish,18,180,0.0
Mysterium Park,301767,2,6,45,2020,standalone,Libellud; Rebel Sp. z o.o.,Polish,8,80,0.0
Mystic Vale: Essential Edition,308762,2,4,60,2021,standalone,Portal Games; Alderac Entertainment Group,Polish,37,370,0.0
Na końcu języka,67877,3,6,30,2017,standalone,Nasza Księgarnia,Polish,8,80,0.0
Na skrzydłach,266192,1,5,70,2019,standalone,Rebel Sp. z o.o.,Polish,20,200,0.0
Na skrzydłach: Ptaki Oceanii,300580,1,5,70,2020,expansion,Rebel Sp. z o.o.; Stonemaier Games,Polish,12,120,0.0
Naga Raja,244191,2,2,30,2019,standalone,Hurrican,English; Hungarian; Italian; Polish,11,110,0.0
Najeźdźcy z Północy,170042,2,4,80,2016,standalone,Games Factory Publishing,Polish,13,130,0.0
Najeźdźcy z Północy: Hala bohaterów,210163,2,5,80,2018,expansion,Games Factory,Polish,13,130,0.0
Najeźdźcy z Północy: Pola chwały,210164,2,5,80,2018,expansion,Games Factory,Polish,13,130,0.0
Najeźdźcy ze Scytii,301880,1,4,80,2021,standalone,Portal Games,Polish,17,170,0.0
Najlepsza gra o psach,295147,2,5,30,2021,standalone,FoxGames,Polish,8,80,0.0
Narcos: Gra Planszowa,253106,2,5,100,2019,standalone,CMON Global Limited; Portal Games,Polish,22,220,0.0
Naturalnie,300001,2,4,60,2021,standalone,Lacerta,Polish,21,210,0.0
Neuroshima Hex!: Rok Molocha,21241,1,4,30,2021,standalone,Portal Games,Polish,35,350,0.0
Neuroshima: Last Aurora,274450,1,4,90,2020,standalone,Pendragon Game Studio; Portal Games,Polish,19,190,0.0
Neuroshima: Last Aurora – Przebudzenie Molocha,294704,2,4,90,2020,expansion,Pendragon Game Studio; Portal Games,Polish,12,120,0.0
New Frontiers,255692,2,5,75,2020,standalone,Portal Games; Rio Grande Games,Polish,32,320,0.0
Nie Testowaliśmy Tego Również,159500,2,10,10,2016,standalone,Czacha Games,Polish,8,80,0.0
Nie Testowaliśmy Tego Wcale,157723,2,10,10,2016,standalone,Czacha Games,Polish,8,80,0.0
Niedźwiedzie vs bobasy,211534,2,5,20,2019,standalone,Rebel Sp. z o.o.,Polish,10,100,0.0
Niepożądani goście,188866,1,8,75,2021,standalone,Nasza Księgarnia,Polish,14,140,0.0
Nieustraszeni: Normandia,268864,2,2,60,2020,standalone,Ogry Games; Osprey Games,Polish,14,140,0.0
Nova Luna,284435,1,4,60,2020,standalone,Lucky Duck Games,Polish,12,120,0.0
Nowy wspaniały świat,271324,1,5,60,2020,standalone,FoxGames,Polish,17,170,0.0
Nowy wspaniały świat: Wojna albo pokój,298752,1,5,60,2020,expansion,FoxGames,Polish,9,90,0.0
O mój Zboże!,183840,2,4,30,2016,standalone,Lacerta,Polish,8,80,0.0
Obrazy Paryża,269160,2,4,60,2020,standalone,Czacha Games; Super Meeple,Polish,17,170,0.0
Odjechane Jednorożce,234190,2,8,45,2019,standalone,Rebel Sp. z o.o.,Polish,9,90,0.0
