Game_title,Game_ID,Min_players,Max_players,Playing_time,Year_published,Item_type,Publisher,Language,Rent_price,Price,Tournament_game
Azul,230802,2,4,45,2018,standalone,Lacerta; Next Move Games,Polish,20,200,0.0
Azul: Letni Pawilon,287954,2,4,45,2020,standalone,Lacerta; Next Move Games,Polish,20,200,0.0
Azul: Ogród Królowej,346965,2,4,60,2022,standalone,Lacerta; Next Move Games,Polish,20,200,0.0
Azul: Witraże Sintry,256226,2,4,45,2019,standalone,Lacerta; Next Move Games,Polish,20,200,0.0
Bąbelsy,192343,1,2,20,2017,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Bag of Chips,344114,2,5,20,2021,standalone,,,8,80,0.0
BANG!,3955,4,7,40,2012,standalone,Bard Centrum Gier; DV Games,Polish,10,100,0.0
BANG! Pojedynek,182094,2,2,30,2016,standalone,Bard Centrum Gier,Polish,10,100,0.0
Barrage,251247,1,4,120,2020,standalone,Portal Games,Polish,35,350,0.0
Barrage: 5-Player Expansion,304453,1,5,120,2020,expansion,,,15,150,0.0
Barrage: Projekt Leeghwatera,263711,1,4,120,2020,expansion,Portal Games,Polish,15,150,0.0
BazgROLL,300094,2,6,25,2020,standalone,FoxGames,Polish,10,100,0.0
Beez,299592,2,4,45,2021,standalone,Next Move Games; Rebel Sp. z o.o.,Polish,10,100,0.0
Black Mirror: NOSEDIVE,265316,3,6,0,2019,standalone,Rebel Sp. z o.o.,Polish,10,100,0.0
Blackout: Hong Kong,262215,1,4,150,2019,standalone,Lacerta,Polish,15,150,0.0
Blood Rage,170216,2,4,90,2016,standalone,Portal Games,Polish,50,500,0.0
Bloodborne: Gra Planszowa,273330,1,4,75,2021,standalone,CMON Global Limited; Portal Games,Polish,60,600,0.0
Boarding,230200,1,4,40,2020,standalone,Nasza Księgarnia; Randomskill Games,Polish,8,80,0.0
Bon Appetit!,270632,2,4,20,2019,standalone,Strawberry Studio,English,8,80,0.0
Bonaparte,27372,2,6,180,2006,standalone,,,8,80,0.0
Bonfire,304420,1,4,100,2021,standalone,Portal Games,Polish,20,200,0.0
Boonlake,343905,1,4,160,2022,standalone,Lacerta,Polish,20,200,0.0
Bór,332386,2,4,90,2022,standalone,Pandasaurus Games; Portal Games,Polish,15,150,0.0
Boss Monster: gra karciana o budowaniu podziemi,131835,2,4,30,2015,standalone,Trefl Joker Line,Polish,10,100,0.0
Botanik,271529,2,2,30,2021,standalone,Rebel Sp. z o.o.,Polish,10,100,0.0
Boże Igrzysko: Magnaci,155025,2,5,90,2014,standalone,PHALANX,Polish,20,200,0.0
Brass: Birmingham,224517,2,4,120,2021,standalone,PHALANX; Roxley,Polish,30,300,0.0
Brass: Lancashire,28720,2,4,120,2019,standalone,PHALANX,Polish,30,300,0.0
Broom Service: Szalone czarownice,172308,2,5,75,2016,standalone,alea; Ravensburger,Polish,10,100,0.0
Brzdęk! W! Kosmosie!: Raban w próżni,233371,2,4,90,2020,standalone,Lucrum Games,Polish,25,250,0.0
Brzdęk! W! Kosmosie!: Stacja Kosmiczna 11,286265,2,4,60,2020,expansion,Lucrum Games,Polish,10,100,0.0
Brzdęk!: Nie drażnij smoka,201808,2,4,60,2020,standalone,Lucrum Games,Polish,25,250,0.0
Brzdęk!: Wesoła kompania,308918,2,6,120,2021,expansion,Dire Wolf; Lucrum Games; Renegade Game Studios,Polish,10,100,0.0
"Buła, Pizza, Kot, Ser, Koza",253664,2,8,30,2020,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Calico,283155,1,4,45,2020,standalone,Alderac Entertainment Group; Flatout Games; Lucky Duck Games,Polish,15,150,0.0
Carcassonne,822,2,5,45,2015,standalone,Bard Centrum Gier; MINDOK,Polish,10,100,1.0
Carcassonne: Gorączka Złota,163370,2,5,35,2015,standalone,Bard Centrum Gier; MINDOK,Polish,15,150,0.0
Catan: Big Box,182880,3,6,90,2015,standalone,,,25,250,0.0
Catan: Dodatek dla 5-6 graczy,2807,5,6,120,2015,expansion,Galakta,Polish,8,80,0.0
Catan: Edycja jubileuszowa,298278,3,4,120,2020,standalone,Galakta; KOSMOS,Polish,15,150,0.0
Caylus 1303,284818,2,5,90,2020,standalone,Rebel Sp. z o.o.,Polish,15,150,0.0
Chytrogród,266936,3,5,60,2019,standalone,Hexy Studio; Lucrum Games,Polish,15,150,0.0
Ciężarówką przez Galaktykę,336794,2,4,30,2021,standalone,Czech Games Edition; Rebel Sp. z o.o.,Polish,14,140,0.0
Claim,233961,2,2,25,2017,standalone,White Goblin Games,Dutch; English; French; German,8,80,0.0
Claim 2,249763,2,2,25,2019,standalone,Czacha Games,Polish,8,80,0.0
Clash of Cultures: Monumentalna Edycja Polska,299659,2,4,240,2021,standalone,Portal Games,Polish,60,600,0.0
Clue: Game of Thrones,198328,2,6,60,2016,standalone,,,15,150,0.0
Cluedo,1294,2,6,45,0,standalone,Parker Brothers,Polish,15,150,0.0
Coatl,274841,1,4,60,2021,standalone,Portal Games; Synapses Games,Polish,15,150,0.0
Colt Express,158899,2,6,40,2015,standalone,Rebel Sp. z o.o.,Polish,15,150,0.0
Colt Express: Szeryf i więźniowie,191865,3,8,40,2016,expansion,Rebel Sp. z o.o.,Polish,10,100,0.0
Cooper Island,269511,1,4,120,2021,standalone,Portal Games,Polish,25,250,0.0
Cortex 2,237629,2,6,15,2018,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Cortex Niegrzeczny,282485,2,6,20,2019,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Cortex Wyzwania,206175,2,6,15,2017,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
CO₂,72225,1,5,120,2013,standalone,Lacerta,Polish,20,200,0.0
Craftsmen,145219,2,5,180,2013,standalone,G3,English; German; Polish,10,100,0.0
Cthulhu: Death May Die,253344,1,5,120,2020,standalone,Portal Games; CMON Global Limited,Polish,40,400,0.0
Cyklady,54998,2,5,90,2011,standalone,Rebel Sp. z o.o.,Polish,20,200,0.0
Cyklady: Hades,96778,2,5,90,2014,expansion,Rebel Sp. z o.o.,Polish,10,100,0.0
Cytadela,205398,2,8,60,2018,standalone,Galakta,Polish,10,100,0.0
Cywilizacja: Poprzez Wieki,182028,2,4,120,2015,standalone,Rebel Sp. z o.o.,Polish,20,200,0.0
Czerwona Katedra,227224,1,4,80,2021,standalone,Portal Games,Polish,15,150,0.0
Czółko,236302,2,8,45,2017,standalone,2 Pionki; Portal Games,Polish,8,80,0.0
Czółko: Bez Cenzury,286920,2,8,30,2019,standalone,2 Pionki; Portal Games,Polish,8,80,0.0
Daj namiar,300753,2,6,10,2021,standalone,Blue Orange (EU); Rebel Sp. z o.o.,Polish,8,80,0.0
Dark Souls: The Card Game,242667,1,4,60,2021,standalone,Portal Games,Polish,20,200,0.0
DC Batman Metal,301665,2,5,75,2021,standalone,Cryptozoic Entertainment; Egmont Polska,Polish,15,150,0.0
DC Strażnicy. Dodatek do gry Pojedynek Superbohaterów DC,175465,2,5,70,2019,expansion,Egmont Polska,Polish,15,150,0.0
DC Wieczne Zło,155463,2,5,75,2020,standalone,Cryptozoic Entertainment; Egmont Polska,Polish,15,150,0.0
Deadwood: Miasto Bezprawia,96713,2,5,60,2011,standalone,Galakta,Polish,10,100,0.0
Decipher,285570,2,4,30,2021,standalone,FoxGames; HeidelBÄR Games,Polish,10,100,0.0
Decrypto,225694,3,8,45,2018,standalone,2 Pionki; Portal Games; Le Scorpion Masqué,Polish,10,100,0.0
Decrypto: Napęd CD,273938,3,8,45,2020,expansion,Portal Games,Polish,5,50,0.0
Detektyw pozytywka na tropie,7483,2,5,20,2017,standalone,Nasza Księgarnia,Polish,8,80,0.0
Detektyw: Kryminalna gra planszowa,223321,1,5,180,2018,standalone,Portal Games,Polish,15,150,0.0
Detektyw: Kryminalna Gra Planszowa – Sezon 1,293531,1,5,120,2020,standalone,Portal Games,Polish,10,100,0.0
Detektyw: Seria Sygnowana – Drugie Dno,299442,1,5,120,2020,expansion,Portal Games,Polish,10,100,0.0
Dice Settlers,230267,1,4,60,2019,standalone,Board&Dice,English,15,150,0.0
Dig Your Way Out,266504,2,6,45,2019,standalone,Borderline Editions,English; French,20,200,0.0
Dinosaur World,317457,2,4,120,2021,standalone,Pandasaurus Games,English,25,250,0.0
Disney Villainous,256382,2,6,50,2018,standalone,Wonder Forge,English,15,150,0.0
Diuna: Imperium,316554,1,4,120,2021,standalone,Dire Wolf; Lucky Duck Games,Polish,20,200,0.0
Dixit,39856,3,8,30,2014,standalone,Libellud; Rebel Sp. z o.o.,Polish,15,150,1.0
Dixit Odyseja,92828,3,12,30,2014,standalone,Rebel Sp. z o.o.,Polish,15,150,0.0
Dobble,63268,2,8,15,2011,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Dobble Harry Potter,63268,2,8,15,2019,standalone,Asmodee,English; Hungarian,8,80,0.0
Draftozaur,264055,2,5,15,2020,standalone,Nasza Księgarnia,Polish,8,80,0.0
Drako,102237,2,2,30,2011,standalone,Rebel Sp. z o.o.,English; Polish,10,100,0.0
Drako: Rycerze i Trolle,284982,2,2,30,2019,standalone,Rebel Sp. z o.o.,Polish,10,100,0.0
Drako: Smok i Krasnoludy,102237,2,2,30,2019,standalone,Rebel Sp. z o.o.,Polish,10,100,0.0
Dreadful Circus,329714,4,8,40,2021,standalone,Portal Games,Polish,12,120,0.0
Dungeon Saga: Grobowiec Króla Krasnoludów,160081,2,5,120,2015,standalone,Bard Centrum Gier,Polish,25,250,0.0
Dwa-lam-bury,272242,4,18,30,2019,standalone,FoxGames,Polish,8,80,0.0
Dylemat wagonika,282171,3,13,90,2020,standalone,Rebel Sp. z o.o.,Polish,10,100,0.0
Dylematy 2,308263,4,15,0,2020,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Dżem dobry,275467,2,6,45,2019,standalone,Czech Games Edition; Rebel Sp. z o.o.,Polish,8,80,0.0
ego,39564,2,6,45,2015,standalone,Trefl,Polish,10,100,0.0
Eksplodujące kotki,172225,2,5,15,2017,standalone,Rebel Sp. z o.o.,Polish,10,100,0.0
Ekspresłówka,169436,1,10,15,2019,standalone,Advance Games Co.; Rebel Sp. z o.o.,Polish,8,80,0.0
Eldritch Horror,146021,1,8,240,2014,standalone,Fantasy Flight Games; Galakta,Polish,22,220,0.0
Elementum,238136,1,4,30,2018,standalone,Quantum Games (II),Polish,8,80,0.0
Escape Room: Atak na Londyn,230498,1,6,60,2018,standalone,FoxGames,Polish,8,80,0.0
Escape Room: Magiczna sztuczka,267735,1,6,60,2019,standalone,FoxGames,Polish,8,80,0.0
Escape Room: Podróż w czasie,218311,1,6,90,2018,standalone,FoxGames,Polish,8,80,0.0
Escape Room: Skarb Czarnobrodego,295571,2,6,90,2021,standalone,FoxGames,Polish,8,80,0.0
Escape Room: Tajemnica Eldorado,258451,1,6,90,2019,standalone,FoxGames,Polish,8,80,0.0
Escape Tales: Dzieci Żmijowego Lasu,299800,1,4,450,2021,standalone,Portal Games,Polish,17,170,0.0
Escape Tales: Low Memory,282291,1,4,540,2020,standalone,Portal Games,Polish,11,110,0.0
Escape Tales: Rytuał przebudzenia,253214,1,4,360,2018,standalone,Board&Dice; Lockme,Polish,10,100,0.0
Ethnos,206718,2,6,60,2018,standalone,Portal Games,Polish,16,160,0.0
Eurobusiness,42050,2,5,90,1983,standalone,Labo Market,Polish,8,80,0.0
Europa w 10 dni,5867,2,4,30,2020,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Europe Divided,260147,2,2,75,2020,standalone,PHALANX,Polish,25,250,0.0
Everdell,199792,1,4,80,2020,standalone,Rebel Sp. z o.o.,Polish,25,250,0.0
Everdell: Święto Lata,289057,1,6,120,2020,expansion,Rebel Sp. z o.o.; Starling Games (II),Polish,15,150,0.0
Everdell: Zimowy szczyt (edycja kolekcjonerska),319419,1,4,100,2020,expansion,Rebel Sp. z o.o.; Starling Games (II),Polish,25,250,0.0
Fabryka robotów,181694,2,6,25,2017,standalone,Nasza Księgarnia,Polish,8,80,0.0
Fallout Shelter: Gra planszowa,293889,2,4,90,2020,standalone,Rebel Sp. z o.o.,Polish,16,160,0.0
Fired Up,267397,2,5,90,2021,standalone,,,24,240,0.0
Fired Up: The Agility Expansion,331312,2,5,90,2021,expansion,,,8,80,0.0
Flick of Faith,281194,2,4,40,2019,standalone,Awaken Realms Lite,English,17,170,0.0
Food Chain Magnate,175914,2,5,240,2021,standalone,Portal Games,Polish,35,350,0.0
Fort,296912,2,4,40,2020,standalone,Leder Games,English,11,110,0.0
Forum Trajanum,244049,2,4,120,2018,standalone,Games Factory,Polish,23,230,0.0
Fudżi,258308,2,4,45,2019,standalone,Lacerta,Polish,13,130,0.0
Gejsze,158600,2,2,15,2017,standalone,Nasza Księgarnia,Polish,8,80,0.0
Getaway Driver,253719,2,2,45,2019,standalone,Midgard Board Games,Polish,10,100,0.0
Gierki Małżeńskie,191077,2,8,60,2015,standalone,MDR,Polish,14,140,0.0
Gildie Londynu,134157,1,4,90,2016,standalone,Czacha Games,Polish,20,200,0.0
Glory: Droga do chwały,206757,1,4,120,2021,standalone,Strategos Games,Polish,20,200,0.0
God of War: Gra karciana,278120,1,4,180,2021,standalone,Portal Games; CMON Global Limited,Polish,16,160,0.0
The Godfather: Imperium Corleone,195539,2,5,90,2017,standalone,Portal Games,Polish,33,330,0.0
Golem,298383,1,4,120,2022,standalone,Portal Games,Polish,30,300,0.0
Gra na emocjach,148381,2,8,15,2017,standalone,Nasza Księgarnia,Polish,8,80,0.0
Gra o Tron: Gra karciana (druga edycja),169255,2,4,120,2015,standalone,Galakta,Polish,25,250,0.0
Gra o Tron: Gra Planszowa (druga edycja),103343,3,6,240,2011,standalone,Galakta,Polish,25,250,0.0
Gra o Tron: Gra planszowa (druga edycja) – Matka Smoków,257496,3,8,240,2018,expansion,Galakta,Polish,17,170,0.0
Gra o Tron: Gra Planszowa (druga edycja) – Uczta dla Wron,140261,4,4,120,2014,expansion,Galakta,Polish,8,80,0.0
Gra o Tron: Królewski Namiestnik,205610,2,4,30,2017,standalone,Galakta,Polish,8,80,0.0
Gra w kolory,340744,2,2,30,2022,standalone,Nasza Księgarnia,Polish,8,80,0.0
Gra w kotka i pyszczek,321539,2,2,10,2022,standalone,Rebel Sp. z o.o.,Polish,14,140,0.0
Gra z jajem,280203,2,8,20,2021,standalone,Muduko,Polish,8,80,0.0
Great Western Trail,193738,2,4,150,2017,standalone,Lacerta,Polish,25,250,0.0
Great Western Trail (Drugie wydanie),341169,1,4,150,2022,standalone,Lacerta,Polish,25,250,0.0
Great Western Trail: Kolej na Północ,245744,2,4,150,2018,expansion,Lacerta,Polish,12,120,0.0
Gremlins Inc,182214,2,6,60,2018,standalone,Czacha Games,Polish,10,100,0.0
Gretchiny!,239951,2,4,20,2018,standalone,Black Monk; Devir,Polish,13,130,0.0
Gùgōng,250458,1,5,90,2018,standalone,Games Factory,Polish,19,190,0.0
Głębia,5716,2,2,30,2019,standalone,Nasza Księgarnia,Polish,8,80,0.0
Harry Potter: Hogwarts Battle,199042,2,4,60,2019,standalone,Rebel Sp. z o.o.,Polish,21,210,0.0
Herbatka dla dwojga,294448,2,2,30,2020,standalone,Rebel Sp. z o.o.,Polish,8,80,0.0
Hexx,174696,2,5,30,2016,standalone,FoxGames,Polish,8,80,0.0
HINT,165628,4,10,60,2014,standalone,,,8,80,0.0
Hippocrates,327971,1,4,120,2022,standalone,Game Brewer,English,25,250,0.0
Homeland: The Game,160968,3,6,90,2015,standalone,"Battlefront Miniatures Ltd; Gale Force Nine, LLC",English,20,200,0.0
Hook!,147685,3,6,30,2014,standalone,Lacerta,Polish,8,80,0.0
Horrified,282524,1,5,60,2022,standalone,Ravensburger,Polish,25,250,0.0
Hotel Samoa,63740,3,6,60,2010,standalone,Axel,Polish,8,80,0.0
Imperial 2030,54138,2,6,180,2016,standalone,Egmont Polska,Polish,18,180,0.0
Imperial Struggle,206480,2,2,240,2021,standalone,GMT Games; PHALANX,Polish,27,270,0.0
Inis,155821,2,4,90,2018,standalone,Portal Games,Polish,23,230,0.0
Inis: Pory Roku,255588,2,5,90,2019,expansion,Portal Games,Polish,15,150,0.0
Ishtar: Ogrody Babilonu,271088,2,4,45,2020,standalone,Portal Games,Polish,17,170,0.0
Istanbul: Big Box,251219,2,5,90,2018,standalone,,,22,220,0.0
Istanbul: Gra kościana,235488,2,4,40,2017,standalone,2 Pionki; Portal Games,Polish,12,120,0.0
Jaipur,54043,2,2,30,2015,standalone,GameWorks SàRL; Rebel Sp. z o.o.,Polish,9,90,0.0
Jaipur,54043,2,2,30,2020,standalone,Rebel Sp. z o.o.,Polish,9,90,0.0
Jaskinia,129351,2,5,60,2012,standalone,Rebel Sp. z o.o.,Polish,13,130,0.0
Jednym słowem,254640,3,7,60,2018,standalone,Rebel Sp. z o.o.,Polish,9,90,0.0
Jenga,2452,1,8,20,2012,standalone,Hasbro,English; French; Portuguese; Spanish,10,100,0.0
Jukatan,32996,2,4,60,2008,standalone,Wolf Fang P.H.,Polish,8,80,0.0
Jungle Speed,8098,2,10,10,2009,standalone,Rebel Sp. z o.o.,Polish,9,90,0.0
Jungle Speed Kids,274651,2,6,30,2018,standalone,,,9,90,0.0
K2,73761,1,5,60,2019,standalone,Rebel Sp. z o.o.,English; Polish,13,130,0.0
Kamienna Mandala,317504,2,4,30,2021,standalone,Board&Dice; Lucrum Games,Polish,13,130,0.0
Kanagawa,200147,2,4,45,2017,standalone,2 Pionki; IELLO,Polish,12,120,0.0
